relation_id	relation_name	gene_words	hpoterm_words	words	sentences_before	sentences_after	expectation
RELATION_GENEHPOTERM_journal.pone.0019846.pdf_471_471_17_17_2_2	CAV1/HP:0100242|Sarcoma	{17}	{2}	{Ewing,’s,sarcoma,cells,were,grown,until,they,reached,30,—,40,%,conﬂuence,",",treated,with,CAV1,or,clathrin,siRNAs,",",and,then,proteins,were,extracted,and,WB,performed,",",as,described,in,the,Materials,and,Methods,section,.}	{"Supporting Information","Figure S1 siRNA knockdown efficiency studies ."}	{"A ) WB detection of clathrin and Cavl protein levels .","B ) Densitometric analysis of the WBs ."}	0.718
RELATION_GENEHPOTERM_SCPDFS_46304.pdf_40_40_30_33_16_18	neural_retina_leucine_zipper/HP:0004431|Complement deficiency	{30,31,32,33}	{16,18}	{Membranoproliferative,glomerulonephritis,:,a,disease,characterized,by,progressive,renal,dysfunction,;,it,can,be,caused,by,deficiency,of,complement,factor,H.,Nrl,:,the,gene,encoding,the,protein,NRL,(,neural,retina,leucine,zipper,),.}	{"Increased lipofuscin accumulation is a major histopathological symptom of many forms of MD. .","Macula : a small area of the retina that facilitates color vision and enables us to see fine details ."}	{"NRL is a transcription factor that is expressed preferentially in rod photoreceptors and is required for rod differentiation .","Retinal pigment epithelium ( RPE ) : the epithelial cells that separate the biological compartments of the neurosensory retina from the choroid of the eye ."}	0.268
RELATION_GENEHPOTERM_journal.pone.0047191.pdf_241_241_36_36_42_43	SHBG/HP:0000855|Insulin resistance	{36}	{42,43}	{Jayagopal,V,",",Kilpatrick,ES,",",Jennings,PE,",",Hepburn,DA,",",Atkin,SL,(,2003,),The,biological,variation,of,testosterone,and,sex,hormone-binding,globulin,(,SHBG,),in,polycystic,ovarian,syndrome,:,implications,for,SHBG,as,a,surrogate,marker,of,insulin,resistance,.}	{"Diabetes Care 25 : 2022 — 2025 .","25 ."}	{"J Clin Endocrinol 1\\\\/Ietab 88 : 152841533 .","26 ."}	0.282
RELATION_GENEHPOTERM_journal.pone.0043728.pdf_324_324_6_6_15_16	APP/HP:0100019|Cortical cataract	{6}	{15,16}	{Interaction,of,CTNND2,SNP,rs17183619,and,APP,SNP,rs2096488,in,univariate,and,bivariate,models,of,cortical,cataract,(,CC,),and,temporal,horn,volume,(,THV,),.}	{"We observed in a sample of Framingham Study participants a correlation of a cortical cataract score measured during adulthood with future development of AD , and with multiple measures of AD-related brain degeneration obtained from both MRI scan and","Table 2 ."}	{"SNP lneference Allele ) Cortical Cataract Temporal Horn Volume Bivariate","B P 3 P Bcc iimv P"}	0.4
RELATION_GENEHPOTERM_journal.pone.0014334.pdf_448_448_6_6_15_15	R1/HP:0001028|Hemangioma	{6}	{15}	{(,2008,),Suppressed,NFATdependent,VEGF,R1,expression,and,constitutive,VEGF,R2,signaling,in,infantile,hemangioma,.}	{"Methods 44 : 394/16 .","Jinnin l \\\\ I , lVIedici D , Park L , Limaye N , Liu Y , et a1 ."}	{"Nat l \\\\ Ied 14 : l236 — 1246 .","Nlakino T , Jinnin IVI , l \\\\ ’ Iuchemwa FC , Fukushima S , Kogushi-Nishi H , et al. ( 2010 ) Basic fibroblast growth factor stimulates the proliferation of human dermal fibroblasts via the ERK1 / 2 andJNK pathways ."}	0.47
RELATION_GENEHPOTERM_SCPDFS_42965.pdf_466_466_20_20_5_5	Fli1/HP:0001909|Leukemia	{20}	{5}	{Erythroleukemia,induction,by,Friend,murine,leukemia,virus,:,Insertional,activation,of,a,new,member,of,the,ets,gene,family,",",Fli1,",",closely,linked,to,ets-1,.}	{"Cell 70 : 1059-1068 .","Ben-David , Y. , Giddens , E. B. , Letwin , K. , and Bernstein , A. ( 1991 ) ."}	{"Genes Dev .","5 : 908-918 ."}	0.526
RELATION_GENEHPOTERM_SCPDFS_19454.pdf_684_684_3_3_8_9	PMS/HP:0003003|Colon cancer	{3}	{8,9}	{Mutations,of,two,PMS,homologues,in,hereditary,nonpolyposis,colon,cancer,.}	{"CA Cancer J. Clin .","Nicolaides , N.C. , et al. , 1994 ."}	{"Nature 371 , 75-80 .","Nicolaides , N.C. , Kinzler , I ( ."}	0.986
RELATION_GENEHPOTERM_journal.pone.0011475.pdf_380_380_20_20_16_17	PC/HP:0012125|Prostate cancer	{20}	{16,17}	{As,controls,",",the,castrationresistant,and,AR-positive,prostate,cancer,cell,line,LNCaP,C4-2B,and,the,AR-negative,prostate,cancer,cell,line,PC,—,3,were,used,.}	{"It has been well documented that , in the absence of ligand , AR is predominantly localized in the cytoplasm ; however , upon binding ligand they localize to the nucleus where they bind DNA and activate target genes [ l ,36,37,38 ] .","EO06AA cells , which were either depleted of or treated with androgen , were lysed and fractioned into nuclear and cytoplasmic fractions ( Figure 5A ) ."}	{"In agreement with previous studies [ l ,37,38 ] , the majority of AR protein was detected in cytoplasmic fractions of both LNCaP C42B and E006AA cells grown in reduced androgen conditions ( Figure 5A ) .","Importantly , AR in LNCaP C4-2B cells as well as both the endogenous mutant AR and the lentiviral expressed wtAR in EOO6AA cells translocates to the nucleus upon the addition of ligand ( Figure 5A ) , documenting that E0O6AA cells possess the necessary cellular components to shuttle the AR into the nucleus upon ligand binding ."}	0.294
RELATION_GENEHPOTERM_SCPDFS_37794.pdf_332_332_173_173_278_278	MAOA/HP:0001251|Ataxia	{173}	{278}	{Gene,P,value,Q,value,MDAG,interactor,Disorders,CREBBP,0.0266,0.011509,SLC6A4,Ataxia,",",hypoxia,",",mental,retardation,HPRT1,0.0353,0.012024,FMRLADSL,Ataxia,",",fragile,X,",",mental,retardation,RPS6KB1,0.0402,0.012267,PTEN,Ataxia,",",hypoxia,",",tuberous,sclerosis,MYO5A,0.052,0.013362,FMR1,Fragile,X,",",hypotonia,",",mental,retardation,LAMA2,0.0557,0.013695,DCX,Microcephaly,",",hypotonia,",",mental,retardation,MAPIB,0.0561,0.013695,FMR1,",",FXR1,",",MAP2,Fragile,X,",",tuberous,sclerosis,",",mental,retardation,HNRNPK,0.0577,0.013969,FMR1,Fragile,X,",",hypoxia,",",mental,retardation,TTR,0.0847,0.016765,APOE,Ataxia,",",fragile,X,",",major,depression,GRIA3,0.0868,0.016897,NTF4,Seizure,disorder,",",Rett,syndrome,",",mental,retardation,EIF4E,0.1003,0.018382,MAP2,Ataxia,",",hypoxia,",",tuberous,sclerosis,ALAS2,0.108,0.019111,MAOA,",",SLC40A1,Ataxia,",",hypoxia,",",mental,retardation,MTHFR,0.1179,0.020015,APOE,Microcephaly,",",major,depression,",",mental,retardation,GH1,0.1297,0.021108,NF1,Seizure,disorder,",",Hypoxia,",",mental,retardation,PIK3R1,0.1459,0.023355,PTEN,",",TSC1,",",MET,Ataxia,",",Hypoxia,",",tuberous,sclerosis,DBH,0.149,0.023482,TPH1,",",MAOA,",",TH,",",',ISC1,Major,depression,",",tuberous,sclerosis,",",mental,retardation,CYFIP1,0.1764,0.024964,FMR1,",",FXR1,Angelman,syndrome,",",fragile,X,",",mental,retardation,PTS,0.2004,0.026444,PTEN,Seizure,disorder,",",hypotonia,",",mental,retardation,EDN3,0.2304,0.029733,AD5L,",",PAX3,Microcephaly,",",hypoxia,",",mental,retardation,TFRC,0.2655,0.033006,SLC40A1,",",CD69,Ataxia,",",major,depression,",",hypoxia,MAPK,14,0.2887,0.034661,GLO1,",",GATA3,Ataxia,",",hypoxia,",",Rett,syndrome,SLC6A8,0.296,0.034976,FMR1,Fragile,X,",",hypotonia,",",mental,retardation,TBX1,0.3729,0.041067,PAX3,Major,depression,",",Asperger,syndrome,",",mental,retardation,ATL1,0.4141,0.044273,FMR1,",",GABRB3,Ataxia,",",mental,retardation,",",spasticity,L1CAM,0.4366,0.046007,FMR1,",",MECP2,",",DCX,Mental,retardation,",",Rett,syndrome,",",spasticity,ATM,0.0097,0.009728,PTEN,Ataxia,",",microcephaly,",",hypoxia,",",mental,retardation,OGDH,0.0062,0.009728,ABAT,Hypoxia,",",Rett,syndrome,",",hypotonia,",",mental,retardation,PQBP1,0.013,0.009728,SLC6A4,Ataxia,",",microcephaly,",",mental,retardation,",",spasticity,DMD,0.043,0.012724,DCX,Hypoxia,",",infantile,hypotonia,",",mental,retardation,PSEN1,0.0519,0.013362,APOE,Ataxia,",",major,depression,",",hypoxia,",",spasticity,BDNF,0.0643,0.014489,MAP2,",",GRIN2A,",",NTF4,",",TH,",",SLC6A4,Major,depression,",",hypoxia,",",Rett,syndrome,",",mental,retardation,FRAP1,0.0951,0.017973,PTENJSC1,Ataxia,",",seizure,disorder,",",hypoxia,",",tuberous,sclerosis,FLNA,0.2635,0.033006,DCX,",",T5C1,Microcephaly,",",hypoxia,",",tuberous,sclerosis,",",mental,retardation,NP,0.4431,0.046524,ADSL,Ataxia,",",seizure,disorder,",",hypotonia,",",spasticity,microcephaly,",",mental,retardation,PAFAH,1B1,0.0092,0.009728,ARX,",",DAB1,",",DCX,",",',ISC1,Tuberous,sclerosis,",",hypotonia,",",spasticity,microcephaly,",",seizure,disorder,HADHA,0.0204,0.011078,ACADL,Infantile,hypotonia,",",hypotonia,",",mental,retardation,RPSSKA3,0.0503,0.013362,ARX,",",GRPR,Ataxia,",",microcephaly,",",hypoxia,",",hypotonia,",",mental,retardation,RBI,0.0662,0.014495,PTEN,",",NF1,Ataxia,",",major,depression,",",hypoxia,",",tuberous,sclerosis,",",mental,retardation,EMX2,0.1834,0.025706,DCX,",",T5C1,Microcephaly,",",mental,retardation,",",tuberous,sclerosis,",",hypotonia,",",spasticity,ATRX,0.3561,0.039603,SNRPN,Ataxia,",",microcephaly,",",mental,retardation,",",hypotonia,",",spasticity,SLC17A5,0.3569,0.039603,TH,Ataxia,",",mental,retardation,",",infantile,hypotonia,",",hypotonia,",",spasticity}	{"Table 4 The top 40 network — based candidates ( NBC ) sorted on the number of autism sibling disorders ( see Fig .","1 ) in which the genes are implicated"}	{"NBC genes are directly connected to a multi — disorder autism gene , but not yet implicated in autism .","The MDAG gene ( s ) to which the NBC gene interacts is provided ."}	1
RELATION_GENEHPOTERM_journal.pone.0071896.pdf_620_620_28_29_23_23	prion_protein/HP:0001943|Hypoglycemia	{28,29}	{23}	{Shyu,VVC,",",Chen,CP,",",Saeki,K,",",Kubosaki,A,",",l,"\\\\",’,Iatusmoto,Y,",",et,al.,(,2005,),Hypoglycemia,enhances,the,expression,of,prion,protein,and,heat-shock,protein}	{"Essers l \\\\ ’ IAG , \\\\ / Veijzen S , de Vries ~ Smits AlVIl \\\\ ’ I , Saarloos I , de Ruiter ND , et al. ( 2004 ) FOXO transcription factor activation by oxidative stress mediated by the small GTPase Ral and JNK .","Embo Journal 23 : 4802 — 48l2 ."}	{"70 in a mouse neuroblastoma cell line .","Journal of Neuroscience Research 80 : 887 — 894 ."}	0.234
RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0036564.pdf_708_708_25_25_8_8_UNSUP	EPHA2/HP:0000518|Cataract	{25}	{8}	{To,gain,insights,into,the,effects,of,the,cataract,mutations,on,protein,solubility,",",we,generated,SAM,domain,fusion,proteins,from,the,wild-type,and,mutant,EPHA2,receptors,.}	{"Mutations in the SAM domain affect EPHA2 protein solubility and subcellular localization Many human diseases such as Alzheimer ’s and Parkinson ’s diseases as well as cataracts , have been demonstrated as “ protein condensation diseases ” , in which the pathogenic proteins form insoluble aggregates [ 50 ] .","It has been shown also previously that the change of sequence parameters by mutations can affect protein expression and solubility in vivo [ 50 ] ."}	{"Interestingly , all the GST-SAM domain mutant fusion proteins were insoluble in contrast to the wild-type GSTSAM domain fusion protein .","These results indicate that SAM domain mutations inﬂuence protein stability and degradation rate through changes of solubility and folding efficiency ."}	0.824
RELATION_GENEHPOTERM_journal.pone.0087281.pdf_189_189_22_22_13_13	PDGFRA/HP:0009733|Glioma	{22}	{13}	{These,ﬁndings,suggest,that,UO126,induces,a,positive,feedback,of,ERK,phosphorylation,in,glioma,cells,is,required,for,the,down-regulation,of,surface,PDGFRA,expression,.}	{"The other MEK inhibitors e.g. PD98059 , PD32590l and CI-1040 , that did not ( or only weakly ) affect surface PDGFRA expression ( Figure 4A ) , completely blocked ERK phosphorylation during the entire 18-hr treatment ( Figure 5B ) .","Moreover , in PDGFRA-free A549 cell lines , ERK phosphorylation was inhibited during treatment with UO126 for 18 hrs ( Figure 5C ) ."}	{"These ﬁndings also suggest that PDGFRA expression is required for UO126 to exert a positive feedback on ERK phosphorylation , which in turn is required for the down-regulation of PDGFRA expression in the glioma cell surface .","Reduced Dwelling of PDGFRA in Intracellular Trafficking System following UO126 Treatment We next hypothesized that the endocytotic pathway is involved in UO126-dependent reduction of surface PDGFRA expression ."}	0.548
RELATION_GENEHPOTERM_journal.pone.0077731.pdf_487_487_22_22_25_25	ALK/HP:0003006|Neuroblastoma	{22}	{25}	{Chen,Y,",",Takita,J,",",Choi,YL,",",Kato,M,",",Ohira,M,et,al.,(,2008,),Oncogenic,mutations,of,ALK,kinase,in,neuroblastoma,.}	{"doi :10.1056 / NEJMoa052399 .","PubMed : 16306521 ."}	{"Nature 455 : 971-974 .","doi : 10.1038 / nature07399 ."}	0.76
