relation_id	relation_name	gene_words	hpoterm_words	words	sentences_before	sentences_after	expectation	gene_expectation	hpoterm_expectation	features	weights
RELATION_GENEHPOTERM_journal.pone.0049413.pdf_436_436_58_58_9_9	IL-6/HP:0002665|Lymphoma	{58}	{9}	{Since,it,adverse,clinical,features,and,survival,in,non-Hodgkin,lymphoma,has,been,previously,implicated,that,the,expression,of,a,single,copy,[,"37,38",],",",while,clinical,trials,have,showed,anticancer,effects,of,ILof,dnTGF,[,3RII,transgene,does,not,completely,block,TGF,|,3,12,on,cutaneous,T,cell,lymphoma,[,39,],",",genetic,depletion,of,IL-6,signaling,in,T,cells,",",we,reasoned,that,a,second,copy,of,or,IL-l2p4O,did,not,rescue,outgrowth,of,lymphoma-like,T,cell,in,dnTGF,[,3RII,transgene,in,homozygous,mice,further,suppresses,homozygous,dnTGF,[,3RII,mice,indicating,that,dnTGF,[,3RII,the,downstream,signaling,",",resulting,in,the,development,of,T,cell,homozygosity,is,critical,for,the,outgrowth,of,lymphoma-like,T,lymphoma,.}	{gOO6,"types of malignancies including T-cell lymphomas [ 7,8 ] ."}	{"The pathological and immunological presentation in cells .","these lymphoma mice resembles the main clinical features in Peripheral T-cell lymphomas ( PTCL ) are rare and aggressive patients with HSTCL , although to date no VEST T-cell lymphomas malignancies that are distinct from the more common cutaneous have been found in homozygous dnTGFl3RII mice ."}	0.998	0.61	0.99	{HPO_NGRAM_LEFT_1_[non-hodgkin],GENE_NGRAM_LEFT_1_[of],GENE_NGRAM_RIGHT_1_[signaling],INV_VERB_[suppress],INV_VERB_[reason],INV_MIN_VERB_[have],HPO_NGRAM_RIGHT_1_[have],INV_VERB_[result],INV_VERB_[implicate],INV_VERB_[indicate],INV_VERB_[be],INV_VERB_[have],INV_VERB_[block],INV_VERB_[do],INV_VERB_[show]}	{3.42018,1.38319,0.899007,0.710672,0.589465,-0.548918,-0.407934,0.357042,0.289733,-0.255235,-0.247002,0.150667,-0.126064,-0.12527,-0.109979}
RELATION_GENEHPOTERM_SUP_MAP_SCPDFS_45766.pdf_55_55_19_19_66_67	STAT1/HP:0002719|Recurrent infections	{19}	{66,67}	{This,approach,has,highlighted,how,both,loss,—,of,—,function,and,gain,—,of,—,function,alleles,of,STAT1,(,a,key,transcription,factor,involved,in,IFN,signalling,and,susceptibility,to,mycobacterial,and,viral,infection,),may,perturb,normal,immune,function,",",leading,to,clear,disease,phenotypes,[,17,],",",in,this,case,",",chronic,mucocutaneous,candidiasis,(,CMC,),",",a,persistent,or,recurrent,infection,with,Candida,albicans,involving,the,nails,",",skin,",",oral,",",or,genital,mucosa,[,23,],.}	{"Despite these successes , the identiﬁcation of causative genes for some primary immunodeﬁciencies through classical approaches has been hampered by the small numbers of informative cases .","Recent developments in genomic technology such as Whole — exome sequencing ( WES ) have opened the door to resolving these rare instances and promise to advance this ﬁeld signiﬁcantly ."}	{"Although a variety of genetic aetiologies have been identiﬁed , here the cause of autosomal dominant CMC was speciﬁcally investigated .","The strategic approach of using WES to analyse a small number of individuals and then sequence the coding region of the implicated gene in a larger number of individuals was highly productive ."}	0.94	0.97	0.98	{GENE_NGRAM_LEFT_1_[of],GENE_NGRAM_RIGHT_1_[(],VERB_[perturb],VERB_[involve],MIN_VERB_GENE_[perturb],VERB_[lead],HPO_NGRAM_LEFT_1_[or],VERB_[highlight],VERB_[[],VERB_[have],HPO_NGRAM_RIGHT_1_[with],MIN_VERB_HPO_[[]}	{1.38319,-1.1278,0.818812,0.590924,0.539646,0.441282,-0.303295,0.210038,0.18615,0.156579,-0.120975,0.0677933}
RELATION_GENEHPOTERM_SCPDFS_19313.pdf_645_645_12_12_15_17	CYP21A2/HP:0008258|Congenital adrenal hyperplasia	{12}	{15,16,17}	{Phenotype,and,genotype,correlation,of,the,microconversion,from,the,CYP21A1P,to,the,CYP21A2,gene,in,congenital,adrenal,hyperplasia,.}	{"95 , 1288-1300 .","Torres , N. , Mello , M.P. , Germano , C.M. , Elias , L.L. , Moreira , A.C. , Castro , M. , 2003 ."}	{"Braz .","J. Med ."}	0.932	0.924	0.906	{GENE_NGRAM_LEFT_1_[the],"WORD_SEQ_[gene in]","WORD_SEQ_NER_[gene in]",WORD_SEQ_LEN_[2],HPO_NGRAM_RIGHT_1_[.],GENE_NGRAM_RIGHT_1_[gene],HPO_NGRAM_LEFT_1_[in],DEP_PATH_[nn-prep_to|gene-prep_from|cyp21a1p-prep_of|microconversion@prep_in]}	{0.979093,0.969634,0.969634,-0.758764,-0.710675,0.639715,0.485962,0}
RELATION_GENEHPOTERM_journal.pgen.1003505.pdf_612_612_3_3_16_16	RIF/HP:0001009|Telangiectasia	{3}	{16}	{HouldsworthJ,",",Lavin,RIF,(,1980,),Effect,of,ionizing,radiation,on,DNA,synthesis,in,ataxia,telangiectasia,cells,.}	{"You Z , Bailis JIVI ( 2010 ) DNA damage and decisions : CtIP coordinates DNA repair and cell cycle checkpoints .","Trends Cell Biol 20 : 402-409 ."}	{"Nucleic Acids Res 8 : 3709-3720 .","Painter RB , Young BR ( 1980 ) Radiosensitivity in ataxia-telangiectasia : a new explanation ."}	0.938	0.004	0.986	{HPO_NGRAM_LEFT_1_[ataxia],GENE_NGRAM_RIGHT_1_[(],HPO_NGRAM_RIGHT_1_[cell],MIN_VERB_[ionize],SINGLE_VERB_[ionize],GENE_NGRAM_LEFT_1_[Lavin]}	{2.60423,-1.1278,0.712768,0.357986,0.336403,-0.15121}
RELATION_GENEHPOTERM_journal.pone.0012179.pdf_166_166_6_6_3_3	IMPDH2/HP:0002669|Osteosarcoma	{6}	{3}	{We,further,screened,osteosarcoma,biopsies,for,IMPDH2,gene,expression,and,correlated,these,data,with,the,patients,’,response,to,chemotherapy,as,well,as,their,overall,and,event-free,survival,.}	{"In order to identify prognostic factors for chemotherapy response we previously screened osteosarcoma cell lines for drugregulated genes .","Among other genes , we observed upregulation of IMPDH2 in response to cytotoxic drugs [ 22 ] ."}	{"Expression of IMPDH2 was frequently increased in the subgroup of patients with poor response to chemotherapy and turned out to be an independent prognostic factor signiﬁcantly associated with chemotherapy response and event-free survival [ 6 ] .","These data suggested that IMPDH2 might be directly involved in the development of chemoresistance ."}	0.93	0.234	0.758	{INV_MIN_VERB_[screen],INV_WORD_SEQ_LEN_[2],GENE_NGRAM_LEFT_1_[for],INV_VERB_[screen],GENE_NGRAM_RIGHT_1_[gene],HPO_NGRAM_RIGHT_1_[biopsy],HPO_NGRAM_LEFT_1_[screen],INV_VERB_[correlate],INV_DEP_PATH_[nn-prep_for|expression@nn-dobj|biopsy],"INV_WORD_SEQ_[biopsy for]","INV_WORD_SEQ_NER_[biopsy for]"}	{3.06257,-0.885734,0.859264,-0.728856,0.639715,-0.242262,0.12677,-0.0652213,0,0,0}
RELATION_GENEHPOTERM_journal.pone.0028395.pdf_1046_1046_33_33_36_37	STAT5/HP:0012324|Myeloid leukemia	{33}	{36,37}	{Klejman,A,",",Schreiner,SJ,",",Niel,),orowska-Skorska,NI,",",Slupianek,A,",",VVilson,l,"\\\\",’,I,",",et,al.,(,2002,),The,Src,family,kinase,Hck,couples,BCR/ABL,to,STAT5,activation,in,myeloid,leukemia,cells,.}	{"Ilaria RL , Jr. , Hawley RG , Van Etten RA ( 1999 ) Dominant negative mutants implicate STAT5 in myeloid cell proliferation and neutrophil differentiation .","Blood 93 : 415444166 ."}	{"El \\\\ ’ IBOJ 21 : 576645774 .","VVorkman P ( 2004 ) Inhil ) iting the phosphoinositide 3 ~ kinase pathway for cancer treatment ."}	0.924	0.878	1	{DEP_PATH_[nn@nn-prep_in|cell],GENE_NGRAM_LEFT_1_[to],WORD_SEQ_LEN_[2],HPO_NGRAM_RIGHT_1_[cell],HPO_NGRAM_LEFT_1_[in],GENE_NGRAM_RIGHT_1_[activation],"WORD_SEQ_NER_[activation in]","WORD_SEQ_[activation in]"}	{1.28503,0.897152,-0.758764,0.712768,0.485962,-0.150206,-0.00813603,-0.00813603}
RELATION_GENEHPOTERM_journal.pbio.0050212.pdf_855_855_24_24_33_33	p53/HP:0009733|Glioma	{24}	{33}	{Gomez-Manzano,C,",",Fueyo,J,",",Kyritsis,AP,",",Steck,PA,",",Roth,JA,",",et,al.,(,1996,),Adenovirus-mediated,transfer,of,the,p53,gene,produces,rapid,and,generalized,death,of,human,glioma,cells,via,apoptosis,.}	{"Gehler S , Gallo G , Veien E , Letourneau PC ( 2004 ) p75 neurotrophin receptor signaling regulates growth cone ﬁlopodial dynamics through modulating RhoA activity .","J Neurosci 24 : 4363 — 4372 ."}	{"Cancer Res 56 : 694 — 699 .","Aoyama M , Asai K , Shishikura T , Kawam ( ) t ( ) T , Miyachi T , et al. ( 2001 ) Human neuroblastomas with unfavorable biologies express high levels of brain-derived neurotrophic factor mRNA and a variety of its variants ."}	0.962	0.308	1	{GENE_NGRAM_LEFT_1_[the],HPO_NGRAM_LEFT_1_[human],HPO_NGRAM_RIGHT_1_[cell],GENE_NGRAM_RIGHT_1_[gene],VERB_[produce],VERB_[generalize],MIN_VERB_GENE_[produce],MIN_VERB_HPO_[generalize]}	{0.979093,0.901477,0.712768,0.639715,-0.556754,0.480455,0.194643,-0.111019}
RELATION_GENEHPOTERM_journal.pone.0053476.pdf_828_828_25_25_30_31	PTEN/HP:0012125|Prostate cancer	{25}	{30,31}	{Nlclﬂenamin,l,"\\\\",’,IE,",",Soung,P,",",Perera,S,",",Kaplan,I,",",Loda,N1,",",et,al.,(,1999,),Loss,of,PTEN,expression,in,parallin-embedded,primary,prostate,cancer,correlates,with,high,Gleason,score,and,advanced,stage,.}	{"Dev Biol 273 : 175 — 184 .",.}	{"Cancer Res 59 : 4291 — 4296 .","Shen NINI , Al ) ate-Shen C ( 2007 ) Pten inactivation and the emergence of androgen-independent prostate cancer ."}	0.95	0.936	0.996	{DEP_PATH_[nn-prep_of|expression-dobj|loss@prep_in],GENE_NGRAM_LEFT_1_[of],MIN_VERB_[correlate],HPO_NGRAM_LEFT_1_[primary],SINGLE_VERB_[correlate],WORD_SEQ_LEN_[4],GENE_NGRAM_RIGHT_1_[expression],HPO_NGRAM_RIGHT_1_[correlate],"WORD_SEQ_NER_[expression in parallin-embedded primary]","WORD_SEQ_[expression in parallin-embedded primary]"}	{1.76573,1.38319,-0.740741,0.707316,0.307167,-0.297655,-0.124327,0.112485,0,0}
RELATION_GENEHPOTERM_gb-2011-12-9-228.pdf_135_135_42_42_47_48	MIM/HP:0012265|Ciliary dyskinesia	{42}	{47,48}	{For,example,",",a,study,identiﬁed,mutations,in,dihydroorotate,dehydrogenase,(,DHODH,),and,dynein,",",axonemal,",",heavy,chain,5,(,DNAH5,),in,two,siblings,as,the,explanation,of,the,combined,phenotype,of,Miller,syndrome,(,postaxial,acrofacial,dysostosis,;,MIM,263750,),and,primary,ciliary,dyskinesia,",",respectively,[,14,],.}	{"The most prominent example of this was the identiﬁcation of mutations in the SH3 domain and tetratricopeptide repeat domain 2 gene ( SH3TC2 , a gene known to cause neuropathy ) as the cause of Charcot-Marie Tooth neuropathy ( MIM 601596 ) in a family by whole genome sequencing [ 20 ] .","An unbiased base-pair resolution approach can also reveal mutations two Mendelian phenotypes ."}	{"Traditional mapping approaches would probably have missed the mutations in DNAHS as these were unique to this sibling and not present in other patients with Miller syndrome , which severely complicates mapping .","Unbiased whole exome sequencing , on the other hand , identiﬁes all variants and allows for detailed analysis of individual cases and families ."}	0.902	0.116	0.976	{DEP_PATH_[nn-dep|)@dep],SINGLE_VERB_[identiﬁed],HPO_NGRAM_LEFT_1_[primary],GENE_NGRAM_LEFT_1_[;],"HPO_NGRAM_RIGHT_1_[,]",WORD_SEQ_LEN_[4],MIN_VERB_[identiﬁed],"WORD_SEQ_[263750 ) and primary]","WORD_SEQ_NER_[NUMBER ) and primary]",GENE_NGRAM_RIGHT_1_[263750]}	{0.812549,0.803109,0.707316,0.528464,-0.507957,-0.297655,0.139594,0,0,0}
RELATION_GENEHPOTERM_journal.pone.0028680.pdf_441_441_28_29_32_32	interleukin_10/HP:0002861|Melanoma	{28,29}	{32}	{Terai,NI,",",Eto,NI,",",Young,GD,",",Berd,D,",",1,"\\\\",’,Iastrangelo,IVIJ,",",et,al.,(,2011,),Interleukin,6,mediates,production,of,interleukin,10,in,metastatic,melanoma,.}	{"J Biol Chem 271 : 13968 — l3975 .","20 ."}	{"Cancer Immunol Immunother .","21 ."}	0.96	0.574	0.982	{HPO_NGRAM_LEFT_1_[metastatic],GENE_NGRAM_LEFT_1_[of],"WORD_SEQ_NER_[in metastatic]","WORD_SEQ_[in metastatic]",GENE_NGRAM_RIGHT_1_[in],DEP_PATH_[@prep_in],WORD_SEQ_LEN_[2],HPO_NGRAM_RIGHT_1_[.],MIN_VERB_[mediate],SINGLE_VERB_[mediate]}	{1.45673,1.38319,1.24821,1.24821,-1.18455,1.00131,-0.758764,-0.710675,-0.424293,-0.33715}
